ae:ip_only:microsoft_azure	AE	Ip Only	Microsoft Azure	100		168	
ae:ip_only:ngenix	AE	Ip Only	Ngenix	100		109	
ae:ip_only:nirvanix	AE	Ip Only	Nirvanix	0			
ae:ip_only:qzone	AE	Ip Only	Qzone	80	2379		
ae:ip_only:rackspace_cloudfiles	AE	Ip Only	Rackspace CloudFiles	100		29	
ae:ip_only:simplecdn	AE	Ip Only	SimpleCDN	100		171	
ae:ip_only:twitter	AE	Ip Only	Twitter	100	457		
ae:ip_only:yacast	AE	Ip Only	Yacast	100		125	
ae:ip_only:yahoo	AE	Ip Only	Yahoo	100	526		
ae:ip_only:youtube	AE	Ip Only	YouTube	100	307		
ae:kb_impuls_hellas:aol	AE	Kb Impuls Hellas	AOL	100	4172	875	
ae:kb_impuls_hellas:amazon_ec2_eu	AE	Kb Impuls Hellas	Amazon EC2 (EU)	100	2664	789	1891
ae:kb_impuls_hellas:amazon_s3_eu	AE	Kb Impuls Hellas	Amazon S3 (EU)	100	3399	789	2535
ae:kb_impuls_hellas:amazon_s3_us	AE	Kb Impuls Hellas	Amazon S3 (US)	92	3495	1141	2293
ae:kb_impuls_hellas:cachefly	AE	Kb Impuls Hellas	CacheFly	100	1445	751	1734
ae:kb_impuls_hellas:cloudfront	AE	Kb Impuls Hellas	Cloudfront	100	3500	844	2141
ae:kb_impuls_hellas:edgecast	AE	Kb Impuls Hellas	Edgecast	100	2437	790	1828
ae:kb_impuls_hellas:google_app_engine	AE	Kb Impuls Hellas	Google App Engine	100	2422	891	1875
ae:kb_impuls_hellas:internode	AE	Kb Impuls Hellas	Internode	100	2930	1188	3821
ae:kb_impuls_hellas:joyent	AE	Kb Impuls Hellas	Joyent	100	2071	1195	2680
ae:kb_impuls_hellas:msn	AE	Kb Impuls Hellas	MSN	100	3985	1422	
ae:kb_impuls_hellas:microsoft_azure	AE	Kb Impuls Hellas	Microsoft Azure	100	3782	922	3063
ae:kb_impuls_hellas:nirvanix	AE	Kb Impuls Hellas	Nirvanix	0			
