===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
N. Carolina	181.71	181.71	-	-	-	Lumberton, Fayetteville, Roanoke Rapids	
Virginia	178.73	178.73	-	24.08	-	Emporia, Petersburg, Richmond, Fredericksburg, Alexandria	
District of Columbia	0.11	0.11	-	-	-	Washington	
Maryland	110.01	110.01	-	-	-	Suitland, New Carollton, Greenbelt, Laurel, Baltimore, Aberdeen, Havre de Grace	
Delaware	23.43	23.43	-	-	-	Wilmington	
Pennsylvania	51.08	51.08	-	-	-	Chester, Philadelphia(NOTE: Pennsylvania mileage measured to Pa-NJ state line at Trenton. Completion of new interchange with I-276 north of Philadelphia will make the ending terminus near Florence, New Jersey.)	
New Jersey	97.76	97.76	-	-	-	New Brunswick, Elizabeth, Newark, North Bergen(NOTE: New Jersey mileage measured from the Pa-NJ line near the future terminus at Florence, N.J. via the N.J. Turnpike to New York.)	
New York	23.50	23.50	-	-	-	New York City, New Rochelle	
Connecticut	111.57	111.57	-	-	-	Greenwich, Stamford, Norwalk, Bridgeport, New Haven, New London	
Rhode Island	42.36	42.36	-	-	-	Warwick, Cranston, Providence, Pawtucket	
Massachusetts	91.95	91.95	-	37.54	-	Attleboro, Boston, Needham, Lexington, Woburn, Danvers	
New Hampshire	16.11	16.11	-	-	-	Portsmouth	
Maine	298.51	298.51	-	-	-	Kittery, Portland, Brunswick, Augusta, Waterville, Bangor Houlton	
TOTAL	1,919.74	1,919.74	-	61.62	-		
I-96	Michigan	192.06	192.06	-	-	-	Muskegon, Grand Rapids, Lansing, Livonia, Detroit
I-97	Maryland	17.62	17.62	14.90	-	-	Annapolis, Baltimore
I-99*	Pennsylvania	53	53		53*		Bedford

Note:

    * Total Miles - this column includes the original 42,500 miles under former 23 USC 103(e)(1) & (3) plus the Howard-Cramer additions under former 23 USC 103(e)(2) and additions under 23 USC 103(c)(4)(A) and high priority routes per 1991 ISTEA. It also includes mileage sections which overlap other Interstate routes.
    * Net Miles - this column does not include overlapping mileage.
    * Howard-Cramer Miles - this column shows mileage added to the system under former 23 USC 103(e)(2).
    * Sections 103(c)(4)(A) & 332 Miles - this column shows mileage added to the system under 23 USC 103(c)(4)(A) which supersedes 23 USC 139(a) & 139(c). This column also shows high priority route additions per 1991 ISTEA marked with *.
    * Population figures are from the 1990 Census.Major Urban Areas Served means that the route either enters the Urban Area or approaches close enough to provide useful service.
    * Routes shown are those routes designated as of October 31, 2002.
    * In North Carolina, only 12.27 miles of I-73 have been signed as an Interstate highway as of October 31, 2002.

===========================================================================
FHWA Route Log and Finder List
Table 2: Auxiliary Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	Urban Areas Served(* = Major Suburbs)
